NUTS2,CO2 seq rate tCO2/(ha y),density tCO2/ha,rotation_age_years,Source
AT21,4.613703833537464,390.52613591269835,84.64482116817419,direct
AT22,5.281952386927836,357.5191313244047,67.68692807781065,direct
AT31,5.196495254161043,384.713869047619,74.03333405136148,direct
CZ05,4.762449999999999,320.4895833333333,67.29510721022443,direct
CZ06,4.762449999999999,320.4895833333333,67.29510721022443,direct
DE27,5.669071520087455,427.00653645833336,75.32212901977043,DE2→NUTS1
DE30,5.366216236670106,323.4441145833333,60.274148546805456,DE3→NUTS1
DE50,5.138042757369479,370.52927083333327,72.11486714505914,DE5→NUTS1
DE60,5.126314377572891,350.5332892628205,68.37920257024585,DE→country (Pilli)
DEB3,4.716680257700245,321.58786458333327,68.18097624029592,DEB→NUTS1
DEC0,5.344785036450478,329.030625,61.56105863118348,DEC→NUTS1
DED2,5.321449711902304,393.8297916666666,74.00798898574594,DED→NUTS1
AT32,5.171502675041676,359.02510416666667,69.42374909702109,direct
AT33,4.872173198574301,272.13316319444436,55.85457497161147,direct
AT34,4.710972828517372,392.84246527777776,83.38882001181322,direct
BE10,3.4506335891812863,230.7588020833333,66.87432789352874,BE→country (Pilli)
CZ07,4.762449999999999,320.4895833333333,67.29510721022443,direct
CZ08,4.762449999999999,320.4895833333333,67.29510721022443,direct
DE40,5.126314377572891,350.5332892628205,68.37920257024585,DE→country (Pilli)
DE71,4.936260643123646,344.8190625,69.85430621058127,DE7→NUTS1
DED4,5.321449711902304,393.8297916666666,74.00798898574594,DED→NUTS1
DED5,5.321449711902304,393.8297916666666,74.00798898574594,DED→NUTS1
BE21,3.4506335891812863,230.7588020833333,66.87432789352874,BE2→NUTS1
BE22,3.4506335891812863,230.7588020833333,66.87432789352874,BE2→NUTS1
BE23,3.4506335891812863,230.7588020833333,66.87432789352874,BE2→NUTS1
BE24,3.4506335891812863,230.7588020833333,66.87432789352874,BE2→NUTS1
BE25,3.4506335891812863,230.7588020833333,66.87432789352874,BE2→NUTS1
CH01,4.7626816320458065,245.6400481123273,51.09131151355697,avg neighbours (100km)
CH02,4.939251062169254,271.02241589547816,54.72467278255125,avg neighbours (100km)
DE72,4.936260643123646,344.8190625,69.85430621058127,DE7→NUTS1
DE73,4.936260643123646,344.8190625,69.85430621058127,DE7→NUTS1
DEE0,4.7301837793011945,323.7471875,68.44283490985804,DEE→NUTS1
ES22,3.0129230167822483,133.75638013489498,47.29534093264391,avg neighbours (100km)
BE31,3.4506335891812863,230.7588020833333,66.87432789352874,BE3→NUTS1
BE32,3.4506335891812863,230.7588020833333,66.87432789352874,BE3→NUTS1
BE33,3.4506335891812863,230.7588020833333,66.87432789352874,BE3→NUTS1
BE34,3.4506335891812863,230.7588020833333,66.87432789352874,BE3→NUTS1
PL31,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL32,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PT18,2.1553728070175437,204.76041666666666,95.0,direct
PT20,2.1553728070175433,204.76041666666669,95.00000000000003,PT→country (Pilli)
PT30,2.1553728070175433,204.76041666666669,95.00000000000003,PT→country (Pilli)
SE21,2.9481392973856204,227.3642708333333,77.12127816855791,direct
SE22,4.026713942307692,261.73640624999996,64.99999999999999,direct
SE23,3.630766826923077,235.99984375,65.0,direct
SE31,2.6358210784313725,224.04479166666664,84.99999999999999,direct
SE32,2.1714620098039212,184.57427083333334,85.00000000000001,direct
SE33,1.4357291666666667,136.39427083333334,95.0,direct
SI03,3.2493879385964908,308.69185416666664,95.0,SI→NUTS0
SI04,3.2493879385964908,308.69185416666664,95.0,SI→NUTS0
SK01,4.312873738318427,356.92393229166663,82.75779768846884,SK→NUTS0
SK02,4.312873738318427,356.92393229166663,82.75779768846884,SK→NUTS0
SK03,4.312873738318427,356.92393229166663,82.75779768846884,SK→NUTS0
SK04,4.312873738318427,356.92393229166663,82.75779768846884,SK→NUTS0
TR10,5.906312222222221,217.4099583333333,36.80976388537988,avg neighbours (100km)
TR21,5.852492808852193,217.8970368055555,37.73169980581699,avg neighbours (100km)
TR41,5.8794025155372065,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR42,5.879402515537206,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR51,5.8794025155372065,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR52,5.8794025155372065,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR61,5.879402515537206,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR62,5.8794025155372065,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR63,5.8794025155372065,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR71,5.8794025155372065,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR72,5.8794025155372065,217.65349756944437,37.27073184559843,avg neighbours (100km)
TR81,5.879402515537206,217.6534975694444,37.27073184559843,avg neighbours (100km)
TR82,5.8794025155372065,217.65349756944437,37.27073184559843,avg neighbours (100km)
TR22,5.843522906623856,217.9782165509259,37.88535579255651,avg neighbours (100km)
TR83,5.879402515537206,217.65349756944437,37.27073184559843,avg neighbours (100km)
TR90,5.8794025155372065,217.65349756944437,37.27073184559843,avg neighbours (100km)
TRA1,5.879402515537206,217.65349756944434,37.27073184559843,avg neighbours (100km)
TRA2,5.8794025155372065,217.65349756944437,37.27073184559843,avg neighbours (100km)
TRB1,5.8794025155372065,217.65349756944437,37.27073184559843,avg neighbours (100km)
TRB2,5.879402515537206,217.65349756944434,37.27073184559843,avg neighbours (100km)
TRC1,5.879402515537206,217.65349756944437,37.27073184559843,avg neighbours (100km)
TRC2,5.879402515537206,217.65349756944434,37.27073184559843,avg neighbours (100km)
TRC3,5.879402515537206,217.65349756944434,37.27073184559844,avg neighbours (100km)
UKC1,2.2121227826510723,191.66086805555554,86.64115281425002,avg neighbours (100km)
UKC2,2.2121227826510723,191.66086805555554,86.64115281425002,avg neighbours (100km)
TR31,5.861462711080531,217.81585706018515,37.57804381907747,avg neighbours (100km)
UKD1,3.106546602823932,186.25068985780422,68.92299648345767,avg neighbours (100km)
UKD3,3.553758512910362,183.54560075892857,60.06391831806148,avg neighbours (100km)
UKD4,3.170434018550565,185.86424855796486,67.65741388840107,avg neighbours (100km)
UKD6,3.7454207600902607,182.38627685941043,56.267170532891704,avg neighbours (100km)
UKD7,3.5263781918846626,183.71121845885975,60.606310858800036,avg neighbours (100km)
UKE1,3.0000675766128775,186.89475869086985,71.032300808552,avg neighbours (100km)
UKE2,3.2395762433629383,185.44602204298715,66.28773575522293,avg neighbours (100km)
UKE3,3.4450669355053116,184.20305284047348,62.21705234341751,avg neighbours (100km)
UKE4,3.342321589434125,184.8245374417303,64.25239404932022,avg neighbours (100km)
UKF1,3.7353021974635983,183.5462558949592,56.839295333077146,avg neighbours (100km)
UKF2,4.217454653016047,182.9607622055346,48.017073905378744,avg neighbours (100km)
UKF3,3.7275214382072193,184.34589532965379,57.24576734256706,avg neighbours (100km)
UKG1,4.236447466629913,181.92164331927594,47.377380407550724,avg neighbours (100km)
TR32,5.873422580718315,217.70761739969132,37.373169170091444,avg neighbours (100km)
TR33,5.875748110925661,217.6865707990397,37.33333243278861,avg neighbours (100km)
UKG2,3.8355692324699766,183.28907459538055,54.96670998969494,avg neighbours (100km)
UKG3,3.9853285081045153,182.69351705926053,52.1040442409027,avg neighbours (100km)
UKH1,4.332937071145376,183.02673781361446,45.98059237032368,avg neighbours (100km)
UKH2,4.456311495043852,182.74649693005256,43.686805236361344,avg neighbours (100km)
UKH3,4.776666666666666,184.06666666666666,38.534542916957434,avg neighbours (100km)
UKI3,4.776666666666666,184.06666666666666,38.534542916957434,avg neighbours (100km)
UKI4,4.776666666666666,184.06666666666666,38.534542916957434,avg neighbours (100km)
UKI5,4.776666666666666,184.0666666666667,38.534542916957434,avg neighbours (100km)
UKI6,4.776666666666666,184.0666666666667,38.534542916957434,avg neighbours (100km)
UKI7,4.776666666666666,184.0666666666667,38.534542916957434,avg neighbours (100km)
UKJ1,4.776666666666666,184.0666666666667,38.534542916957434,avg neighbours (100km)
UKJ2,4.69349187062306,179.5115972222222,38.19940504194765,avg neighbours (100km)
UKJ3,4.697122553526019,177.18767746913582,37.613172659369575,avg neighbours (100km)
UKJ4,4.5594384499183,179.84970782882237,39.899773144607174,avg neighbours (100km)
UKN0,2.2121227826510723,191.66086805555554,86.64115281425002,avg neighbours (100km)
UKK1,4.756326803018634,182.63740933641975,38.377479400382725,avg neighbours (100km)
UKK2,4.613510467655765,170.02283680555556,36.660389698466766,avg neighbours (100km)
UKK3,4.613510467655765,170.02283680555556,36.660389698466766,avg neighbours (100km)
UKL1,4.27820995686232,179.26638252314817,45.74785453131555,avg neighbours (100km)
