country,region,nuts2,forest_type,con_broad,mgmt_type,rotation_age,mai_vol_m3_ha_yr,bcef,mai_co2_tCO2_ha_yr,density_tCO2_ha
IT,Pi,ITC1,LD,con,H,25,4.84,0.48,5.324,133.1
IT,Tn,ITH2,LD,con,H,25,14.164000000000001,0.48,15.580400000000001,389.51000000000005
IT,Ve,ITH3,LD,con,H,25,19.052,0.49,21.393808333333336,534.8452083333334
IT,AA,ITH1,OB,broad,H,65,0.5907692307692307,0.64,0.8664615384615383,56.319999999999986
IT,Ab,ITF1,OB,broad,H,65,8.64,0.68,13.464,875.1600000000001
IT,Ba,ITF5,OB,broad,H,65,14.74,0.69,23.307624999999994,1514.9956249999996
IT,Cal,ITF6,OB,broad,H,65,1.2,0.65,1.7874999999999999,116.18749999999999
IT,Cam,ITF3,OB,broad,H,65,1.0892307692307692,0.65,1.6225,105.4625
IT,ER,ITH5,OB,broad,H,65,1.7123076923076923,0.65,2.5506249999999997,165.79062499999998
IT,FVG,ITH4,OB,broad,H,65,3.0061538461538464,0.66,4.546807692307693,295.5425000000001
IT,La,ITI4,OB,broad,H,65,2.5538461538461537,0.66,3.8626923076923076,251.075
IT,Li,ITC3,OB,broad,H,65,3.732307692307692,0.66,5.645115384615384,366.93249999999995
IT,Lo,ITC4,OB,broad,H,65,0.7107692307692308,0.64,1.0424615384615386,67.76
IT,Pi,ITC1,OB,broad,H,65,2.4584615384615387,0.66,3.718423076923077,241.6975
IT,Sa,ITG2,OB,broad,H,65,0.2353846153846154,0.66,0.3560192307692308,23.141250000000003
IT,Tn,ITH2,OB,broad,H,65,3.2523076923076926,0.66,4.919115384615385,319.7425
IT,To,ITI1,OB,broad,H,65,1.0692307692307692,0.65,1.5927083333333334,103.52604166666667
IT,Um,ITI2,OB,broad,H,65,2.7876923076923075,0.66,4.216384615384615,274.065
IT,Ve,ITH3,OB,broad,H,65,1.7646153846153847,0.65,2.6285416666666666,170.85520833333334
IT,Ab,ITF1,OC,con,H,65,4.664615384615384,0.55,5.879358974358975,382.15833333333336
